From src:'1'	To src:'7'
CHEMBL1351402	107062
CHEMBL1435319	77707
CHEMBL2135490	96914
CHEMBL583157	94762
CHEMBL333985	142430
CHEMBL333985	93060
CHEMBL63243	16175
CHEMBL1909078	29678
CHEMBL2104816	135133
CHEMBL4060864	139031
CHEMBL391772	66745
CHEMBL1318793	116352
CHEMBL2138266	124119
CHEMBL92890	34353
CHEMBL1499515	108436
CHEMBL4066279	48450
CHEMBL1391527	121019
CHEMBL210868	34544
CHEMBL2334872	65700
CHEMBL1232131	71157
CHEMBL1366262	116730
CHEMBL2104940	135532
CHEMBL6703	114444
CHEMBL1462339	121683
CHEMBL1584115	114766
CHEMBL1893025	82853
CHEMBL3039391	4583
CHEMBL168552	34262
CHEMBL47	18145
CHEMBL4066356	29547
CHEMBL829	9725
CHEMBL3893028	91587
CHEMBL1600912	120676
CHEMBL1555736	94592
CHEMBL2130884	128658
CHEMBL4297314	50310
CHEMBL266540	113558
CHEMBL1812652	68158
CHEMBL506247	81066
CHEMBL3581316	156420
CHEMBL201152	437678
CHEMBL2105953	135776
CHEMBL56543	131968
CHEMBL1907001	135611
CHEMBL2141296	90942
CHEMBL1200855	35017
CHEMBL373379	3987
CHEMBL1818099	69285
CHEMBL1527407	121724
CHEMBL3342632	141339
CHEMBL1668334	70160
CHEMBL1424944	117014
CHEMBL2074711	5544
CHEMBL2143050	82047
CHEMBL1608418	117135
CHEMBL2268552	141222
CHEMBL1766	691037
CHEMBL1370182	107169
CHEMBL1305	84115
CHEMBL164841	9426
CHEMBL1604571	91547
CHEMBL1364949	116323
CHEMBL1597599	109723
CHEMBL1457357	114598
CHEMBL1909072	135641
CHEMBL2140960	129616
CHEMBL446315	4821
CHEMBL1349377	114913
CHEMBL268254	135295
CHEMBL3706997	4777
CHEMBL2142851	92668
CHEMBL2312739	80895
CHEMBL45466	84287
CHEMBL1524857	116447
CHEMBL304902	31424
CHEMBL1926832	69173
CHEMBL812	8666
CHEMBL1615487	31707
CHEMBL152632	82349
CHEMBL403123	67919
CHEMBL457148	133721
CHEMBL91028	244752
CHEMBL1887350	39115
CHEMBL1442558	121263
CHEMBL1592888	104136
CHEMBL1271117	93076
CHEMBL1509452	109194
CHEMBL260328	9690
CHEMBL1908063	81244
CHEMBL2359049	124827
CHEMBL501765	65714
CHEMBL1479729	121252
CHEMBL3560440	130706
CHEMBL458725	7563
CHEMBL1336000	120510
CHEMBL487104	65418
CHEMBL450129	552760
CHEMBL1470448	105156
CHEMBL2032012	35485
CHEMBL1669582	70085
CHEMBL1464493	107222
CHEMBL2271145	86558
CHEMBL22	45924
CHEMBL1379962	104983
CHEMBL1378095	82326
CHEMBL1580981	112347
CHEMBL1689269	70009
CHEMBL2359288	102279
CHEMBL2106004	31294
CHEMBL2132067	104270
CHEMBL51931	37454
CHEMBL2141895	95712
CHEMBL1317070	75455
CHEMBL1494787	115112
CHEMBL3184602	82173
CHEMBL1502047	93640
CHEMBL1896533	53578
CHEMBL146755	16995
CHEMBL1583	2968
CHEMBL1366211	121036
CHEMBL1928000	69606
CHEMBL64249	135459
CHEMBL503189	11060
CHEMBL1618490	104209
CHEMBL14092	17097
CHEMBL1304361	112281
CHEMBL1723872	93608
CHEMBL344161	1367
CHEMBL1608218	105351
CHEMBL1375950	114887
CHEMBL3559884	114068
CHEMBL249467	8097
CHEMBL3989571	9217
CHEMBL187043	7637
CHEMBL1895767	112619
CHEMBL1565240	112748
CHEMBL1189150	136004
CHEMBL1614944	39073
CHEMBL1381010	109819
CHEMBL3544882	140166
CHEMBL490011	4937
CHEMBL1337345	105793
CHEMBL1453694	113196
CHEMBL1773760	68043
CHEMBL1235156	70619
CHEMBL2062155	87159
CHEMBL1812853	88652
CHEMBL1382153	116866
CHEMBL465843	8241
CHEMBL2135757	96468
CHEMBL1352983	117157
CHEMBL1397913	92094
CHEMBL397293	38802
CHEMBL1417410	149811
CHEMBL445753	17016
CHEMBL1782225	67563
CHEMBL3187813	142625
CHEMBL485285	90542
CHEMBL485659	135745
CHEMBL1765414	68297
CHEMBL498878	615597
CHEMBL485940	32163
CHEMBL554969	75049
CHEMBL1331293	107276
CHEMBL1322392	1576
CHEMBL1374133	116827
CHEMBL1320647	121643
CHEMBL1448360	115722
CHEMBL1823036	69230
CHEMBL469501	66164
CHEMBL1088561	93209
CHEMBL1956068	143121
CHEMBL1813224	69771
CHEMBL97543	74867
CHEMBL1498783	121817
CHEMBL490170	74960
CHEMBL2103748	315019
CHEMBL1603555	120007
CHEMBL1484777	116615
CHEMBL1367702	109028
CHEMBL316287	69451
CHEMBL1357341	95263
CHEMBL476121	35047
CHEMBL477989	131881
CHEMBL1444064	107715
CHEMBL27810	94461
CHEMBL1595167	113252
CHEMBL1789813	67325
CHEMBL1508629	116333
CHEMBL1429633	109790
CHEMBL1429031	121716
CHEMBL1229095	103897
CHEMBL272427	80774
CHEMBL1727825	92650
CHEMBL1404200	115721
CHEMBL40583	34342
CHEMBL1872566	112517
CHEMBL2229120	64546
CHEMBL1425169	105472
CHEMBL1230039	39901
CHEMBL571948	91412
CHEMBL1204644	17287
CHEMBL1450327	34595
CHEMBL3302259	110193
CHEMBL1399289	111355
CHEMBL1319034	112926
CHEMBL2142052	119738
CHEMBL45024	58252
CHEMBL45024	17728
CHEMBL3182405	94173
CHEMBL22969	27375
CHEMBL502074	76357
CHEMBL2424872	78777
CHEMBL562310	62882
CHEMBL2110895	135341
CHEMBL1414044	107897
CHEMBL4128595	52108
CHEMBL552741	82301
CHEMBL1951711	136795
CHEMBL252721	114196
CHEMBL207225	43580
CHEMBL1200599	59790
CHEMBL1519837	107903
CHEMBL425252	17239
CHEMBL376077	131947
CHEMBL1185321	51602
CHEMBL1197051	91855
CHEMBL1497645	108204
CHEMBL1502977	116142
CHEMBL2142695	110528
CHEMBL509507	1322
CHEMBL267855	2003
CHEMBL2135063	120066
CHEMBL1200764	50142
CHEMBL455101	66532
CHEMBL1797777	67636
CHEMBL1852533	135153
CHEMBL448060	66071
CHEMBL146408	134994
CHEMBL3392011	17807
CHEMBL3189488	111446
CHEMBL92915	91829
CHEMBL506203	66582
CHEMBL1906899	29219
CHEMBL2228456	87495
CHEMBL1612532	112703
CHEMBL1444483	115685
CHEMBL1515611	77043
CHEMBL1425342	107937
CHEMBL1337188	121512
CHEMBL3944011	141334
CHEMBL1835377	69562
CHEMBL1431132	111413
CHEMBL3290331	79045
CHEMBL1431206	108933
CHEMBL2107431	31790
CHEMBL286204	16675
CHEMBL1871279	113979
CHEMBL1302433	109728
CHEMBL8706	3763
CHEMBL1519371	3375
CHEMBL28079	92215
CHEMBL3187938	95730
CHEMBL2074939	90354
CHEMBL1256516	72753
CHEMBL1795464	67533
CHEMBL3185193	96778
CHEMBL26561	77468
CHEMBL1467600	116535
CHEMBL1439504	105215
CHEMBL1794791	30744
CHEMBL3402209	89486
CHEMBL1443478	120649
CHEMBL1609234	119874
CHEMBL4163822	6017
CHEMBL1480712	123373
CHEMBL1863315	81972
CHEMBL2131862	96900
CHEMBL4077738	4848
CHEMBL1232182	41883
CHEMBL1270550	70680
CHEMBL2139987	122640
CHEMBL1535581	105495
CHEMBL1250	68444
CHEMBL7679	93199
CHEMBL517321	65540
CHEMBL1465703	105712
CHEMBL372840	35072
CHEMBL76897	73340
CHEMBL234926	16605
CHEMBL1399744	114899
CHEMBL1256763	82190
CHEMBL1421369	111200
CHEMBL796	84276
CHEMBL1950977	132512
CHEMBL194126	27784
CHEMBL1436121	34902
CHEMBL2362883	59663
CHEMBL468230	52461
CHEMBL1438258	116552
CHEMBL1569877	108088
CHEMBL1322279	94022
CHEMBL4295035	50063
CHEMBL1361162	115538
CHEMBL1461910	123352
CHEMBL555196	66484
CHEMBL1392107	105212
CHEMBL1314408	116249
CHEMBL3134414	66955
CHEMBL361362	47
CHEMBL2107474	135423
CHEMBL487795	10000
CHEMBL346516	38746
CHEMBL3989676	76259
CHEMBL1241674	90679
CHEMBL1504362	123161
CHEMBL469654	28327
CHEMBL267179	53490
CHEMBL454537	66514
CHEMBL455341	25434
CHEMBL160811	53124
CHEMBL1321953	120612
CHEMBL284861	147411
CHEMBL1429230	114533
CHEMBL373123	17915
