id	reversible	fast	lowerFluxBound	upperFluxBound
R_HMR_4651	true	false	FB1N1000	FB3N1000
R_HMR_4663	true	false	FB1N1000	FB3N1000
R_HMR_4664	false	false	FB2N0	FB3N1000
R_HMR_4694	false	false	FB2N0	FB3N1000
R_HMR_4695	true	false	FB1N1000	FB3N1000
R_HMR_4705	false	false	FB2N0	FB3N1000
R_HMR_4709	true	false	FB1N1000	FB3N1000
R_HMR_4799	false	false	FB2N0	FB3N1000
R_HMR_4802	false	false	FB2N0	FB3N1000
R_HMR_4804	true	false	FB1N1000	FB3N1000
R_HMR_4808	false	false	FB2N0	FB3N1000
R_HMR_4810	false	false	FB2N0	FB3N1000
R_HMR_4812	true	false	FB1N1000	FB3N1000
R_HMR_4814	true	false	FB1N1000	FB3N1000
R_HMR_5301	false	false	FB2N0	FB3N1000
R_HMR_5353	true	false	FB1N1000	FB3N1000
R_HMR_6601	false	false	FB2N0	FB3N1000
R_HMR_6602	true	false	FB1N1000	FB3N1000
R_HMR_6603	true	false	FB1N1000	FB3N1000
R_HMR_6605	true	false	FB1N1000	FB3N1000
R_HMR_6606	true	false	FB1N1000	FB3N1000
R_HMR_6607	true	false	FB1N1000	FB3N1000
R_HMR_6609	true	false	FB1N1000	FB3N1000
R_HMR_6610	false	false	FB2N0	FB3N1000
R_HMR_6611	true	false	FB1N1000	FB3N1000
R_HMR_7144	false	false	FB2N0	FB3N1000
R_HMR_8755	false	false	FB2N0	FB3N1000
R_HMR_9797	false	false	FB2N0	FB3N1000
R_HMR_4016	true	false	FB1N1000	FB3N1000
R_HMR_4018	true	false	FB1N1000	FB3N1000
R_HMR_4044	true	false	FB1N1000	FB3N1000
R_HMR_4291	true	false	FB1N1000	FB3N1000
R_HMR_4420	false	false	FB2N0	FB3N1000
R_HMR_4570	true	false	FB1N1000	FB3N1000
R_HMR_4572	false	false	FB2N0	FB3N1000
R_HMR_4006	true	false	FB1N1000	FB3N1000
R_HMR_4028	true	false	FB1N1000	FB3N1000
R_HMR_4030	true	false	FB1N1000	FB3N1000
R_HMR_4670	true	false	FB1N1000	FB3N1000
R_HMR_4673	true	false	FB1N1000	FB3N1000
R_HMR_4675	false	false	FB2N0	FB3N1000
R_HMR_6614	true	false	FB1N1000	FB3N1000
R_HMR_6615	true	false	FB1N1000	FB3N1000
R_HMR_6616	true	false	FB1N1000	FB3N1000
R_HMR_4635	true	false	FB1N1000	FB3N1000
R_HMR_3793	true	false	FB1N1000	FB3N1000
R_HMR_3931	false	false	FB2N0	FB3N1000
R_HMR_3969	false	false	FB2N0	FB3N1000
R_HMR_3970	false	false	FB2N0	FB3N1000
R_HMR_4008	true	false	FB1N1000	FB3N1000
R_HMR_4032	false	false	FB2N0	FB3N1000
R_HMR_4034	false	false	FB2N0	FB3N1000
R_HMR_4036	false	false	FB2N0	FB3N1000
R_HMR_4050	true	false	FB1N1000	FB3N1000
R_HMR_4056	false	false	FB2N0	FB3N1000
R_HMR_4059	false	false	FB2N0	FB3N1000
R_HMR_4060	false	false	FB2N0	FB3N1000
R_HMR_4127	false	false	FB2N0	FB3N1000
R_HMR_4177	false	false	FB2N0	FB3N1000
R_HMR_4179	false	false	FB2N0	FB3N1000
R_HMR_4182	false	false	FB2N0	FB3N1000
R_HMR_4183	false	false	FB2N0	FB3N1000
R_HMR_4192	false	false	FB2N0	FB3N1000
R_HMR_4194	false	false	FB2N0	FB3N1000
R_HMR_4210	false	false	FB2N0	FB3N1000
R_HMR_4211	false	false	FB2N0	FB3N1000
R_HMR_4343	false	false	FB2N0	FB3N1000
R_HMR_4345	true	false	FB1N1000	FB3N1000
R_HMR_4346	false	false	FB2N0	FB3N1000
R_HMR_4470	false	false	FB2N0	FB3N1000
R_HMR_4471	false	false	FB2N0	FB3N1000
R_HMR_4472	false	false	FB2N0	FB3N1000
R_HMR_4484	false	false	FB2N0	FB3N1000
R_HMR_4485	true	false	FB1N1000	FB3N1000
R_HMR_4510	false	false	FB2N0	FB3N1000
R_HMR_4512	true	false	FB1N1000	FB3N1000
R_HMR_4513	false	false	FB2N0	FB3N1000
R_HMR_4514	false	false	FB2N0	FB3N1000
R_HMR_4577	true	false	FB1N1000	FB3N1000
R_HMR_4579	true	false	FB1N1000	FB3N1000
R_HMR_4580	false	false	FB2N0	FB3N1000
R_HMR_4608	true	false	FB1N1000	FB3N1000
R_HMR_4575	true	false	FB1N1000	FB3N1000
R_HMR_4637	true	false	FB1N1000	FB3N1000
R_HMR_4642	false	false	FB2N0	FB3N1000
R_HMR_4643	false	false	FB2N0	FB3N1000
R_HMR_4644	true	false	FB1N1000	FB3N1000
R_HMR_4672	false	false	FB2N0	FB3N1000
R_HMR_4676	false	false	FB2N0	FB3N1000
R_HMR_4736	false	false	FB2N0	FB3N1000
R_HMR_4819	false	false	FB2N0	FB3N1000
